,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
631,Regina,CA,60.78,broken clouds,50.4501,-104.6178,Wingate by Wyndham Regina
632,Vung Tau,VN,79.29,overcast clouds,10.346,107.0843,Seaside Resort
633,Muli,MV,81.91,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
635,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
637,Niamey,NE,80.89,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
638,Conde,BR,74.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
639,Santa Catarina De Tepehuanes,MX,63.84,overcast clouds,25.35,-105.7333,hotel plaza
640,Isla Mujeres,MX,77.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
641,Aurad,IN,72.93,broken clouds,18.25,77.4333,Bishmilla Birayani Hotel Aurad C
645,Acajutla,SV,78.39,moderate rain,13.5928,-89.8275,CASA DE LA PERRA
646,Jacmel,HT,82.24,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
647,Soyo,AO,75.04,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
648,Owando,CG,70.29,light rain,-0.4819,15.8999,Exaunel Hotel Owando
649,Mufulira,ZM,62.87,scattered clouds,-12.5498,28.2407,Kamiria lodge
650,Makubetsu,JP,60.51,broken clouds,45.3714,141.8211,RED BARON Bike Station Wakkanai
652,Seybaplaya,MX,76.91,overcast clouds,19.65,-90.6667,sala de fiesta san Rafael
653,Lakes Entrance,AU,66.16,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
657,Calabozo,VE,75.2,overcast clouds,8.9242,-67.4293,Hotel Giardini
658,Hitoyoshi,JP,80.42,few clouds,32.2167,130.75,Ryokan Ayu-no-Sato
660,Puerto Carreno,CO,78.04,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
661,Hirara,JP,84.47,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
662,Mount Gambier,AU,67.14,overcast clouds,-37.8333,140.7667,The Commodore
664,Tonaya,MX,72.16,overcast clouds,19.7833,-103.9667,Manuel
665,Ambilobe,MG,61.88,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
666,Beidao,CN,69.69,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
668,Whyalla,AU,71.46,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
670,Mountain Home,US,67.48,clear sky,43.133,-115.6912,Mountain Home Inn
672,Oyama,JP,77.59,scattered clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
673,Mayumba,GA,75.36,light rain,-3.432,10.6554,LIKWALE LODGE
680,Mecca,SA,80.13,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
681,Show Low,US,60.08,scattered clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
683,Chokwe,MZ,68.95,clear sky,-24.5333,32.9833,Complexo Sonho Real
685,Catuday,PH,82.6,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
686,Vao,NC,70.45,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
687,Esqueda,MX,68.22,few clouds,30.7167,-109.5833,Hotel Esqueda
689,Saint-Francois,FR,62.04,overcast clouds,46.4154,3.9054,Maison Vin d'Hus
691,Tahta,EG,82.2,clear sky,26.7693,31.5021,فندق الزيات
694,Decatur,US,61.88,clear sky,39.8403,-88.9548,Haworth Cottage
696,Balaipungut,ID,74.26,overcast clouds,1.05,101.2833,Darmo wira
697,Kawalu,ID,75.85,overcast clouds,-7.3817,108.2082,West Jontor
699,Ampanihy,MG,67.62,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
700,Unai,BR,78.51,clear sky,-16.3575,-46.9061,Hotel Regente
701,Entebbe,UG,66.52,mist,0.0644,32.4469,WB APARTMENT
