City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
179,Itarema,BR,-2.9248,-39.9167,77.72,85,26,16.78,scattered clouds
180,Weihe,CN,32.9952,105.3247,64.56,96,100,2.53,overcast clouds
181,Altay,CN,47.8667,88.1167,31.87,25,4,2.68,clear sky
182,Cape Town,ZA,-33.9258,18.4232,60.39,82,0,3.44,clear sky
183,Shache,CN,38.4167,77.2406,56.71,32,80,8.84,broken clouds
184,Zhigansk,RU,66.7697,123.3711,26.82,71,58,1.72,broken clouds
185,Henties Bay,NA,-22.116,14.2845,55.36,89,4,6.33,clear sky
186,Ostrovnoy,RU,68.0531,39.5131,36.37,87,100,9.55,overcast clouds
187,Xuanzhou,CN,30.9525,118.7553,94.03,46,0,6.15,clear sky
188,Ferrol,ES,43.4832,-8.2369,62.67,94,98,5.39,overcast clouds
189,Charlestown,AU,-32.95,151.6667,65.1,65,14,5.08,few clouds
190,Cockburn Town,TC,21.4612,-71.1419,82.9,78,93,16.35,overcast clouds
191,Terney,RU,45.0503,136.6092,55.65,82,93,4.14,overcast clouds
192,Lebu,CL,-37.6167,-73.65,48.97,90,84,6.13,broken clouds
193,Severo-Kurilsk,RU,50.6789,156.125,46.8,67,61,27.83,broken clouds
194,Sao Filipe,CV,14.8961,-24.4956,77.9,74,23,9.48,few clouds
195,Arari,BR,-3.4536,-44.78,76.15,86,25,4.76,scattered clouds
196,Husavik,IS,66.0449,-17.3389,45.23,97,100,6.91,overcast clouds
197,Pisco,PE,-13.7,-76.2167,60.85,82,0,16.11,clear sky
198,Sorland,NO,67.667,12.6934,49.86,73,94,10.0,overcast clouds
199,Daokou,CN,35.5639,114.5058,71.02,79,85,12.33,overcast clouds
200,Dwarka,IN,22.2394,68.9678,80.78,68,0,10.07,clear sky
201,Sligo,IE,54.2697,-8.4694,50.68,86,51,7.45,broken clouds
202,Saldanha,ZA,-33.0117,17.9442,50.05,77,49,3.04,scattered clouds
203,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,50.52,62,100,16.46,overcast clouds
204,Coswig,DE,51.1333,13.5833,53.83,88,0,9.22,clear sky
205,Zirandaro,MX,18.45,-100.9833,76.39,90,95,2.86,overcast clouds
206,Sitka,US,57.0531,-135.33,55.29,67,75,10.36,broken clouds
207,Churapcha,RU,62.0025,132.4325,28.6,59,100,6.76,overcast clouds
208,Gimli,CA,50.6336,-96.9907,53.62,82,73,8.05,broken clouds
209,Yulara,AU,-25.2406,130.9889,64.24,82,100,11.5,overcast clouds
210,Hamilton,US,39.1834,-84.5333,64.44,53,0,8.05,clear sky
211,Bandarbeyla,SO,9.4942,50.8122,75.56,82,87,22.15,overcast clouds
212,Sangar,RU,63.9242,127.4739,28.09,67,99,0.96,overcast clouds
213,Talnakh,RU,69.4865,88.3972,27.21,96,100,4.68,overcast clouds
214,Narsaq,GL,60.9167,-46.05,37.62,91,100,5.17,overcast clouds
215,Rundu,NA,-17.9333,19.7667,66.83,21,0,6.55,clear sky
216,Jinxiang,CN,27.4327,120.6062,82.94,70,19,2.53,few clouds
217,Omaruru,NA,-21.4333,15.9333,69.4,24,6,6.69,clear sky
218,Fare,PF,-16.7,-151.0167,78.35,69,73,11.01,broken clouds
219,Constitucion,CL,-35.3333,-72.4167,53.2,86,2,5.59,clear sky
220,Bengkulu,ID,-3.8004,102.2655,79.97,79,100,4.38,light rain
221,Soc Trang,VN,9.6033,105.98,79.68,86,100,3.06,overcast clouds
222,Fuengirola,ES,36.54,-4.6247,66.85,89,20,8.05,few clouds
223,Szprotawa,PL,51.5656,15.5366,51.64,92,59,12.08,broken clouds
224,Bridlington,GB,54.0831,-0.1919,53.53,84,4,15.21,clear sky
225,Mana,GF,5.6592,-53.7767,78.6,89,25,8.37,scattered clouds
226,Barrow,US,71.2906,-156.7887,28.42,74,100,12.66,overcast clouds
227,Laela,TZ,-8.5667,32.05,60.28,71,6,0.98,clear sky
228,Peniche,PT,39.3558,-9.3811,62.11,73,11,14.03,few clouds
229,Beira,MZ,-19.8436,34.8389,66.29,100,20,6.91,few clouds
230,Ancud,CL,-41.8697,-73.8203,44.62,77,100,3.76,overcast clouds
231,Dingle,PH,10.9995,122.6711,85.89,71,100,8.57,overcast clouds
232,Kovdor,RU,67.5662,30.4758,30.33,95,91,3.69,overcast clouds
233,Padang,ID,-0.9492,100.3543,73.45,95,100,5.77,overcast clouds
234,Margate,GB,51.3813,1.3862,57.31,86,100,3.0,overcast clouds
235,Vestmannaeyjar,IS,63.4427,-20.2734,46.9,84,100,36.89,overcast clouds
236,Dahra,DZ,36.2546,0.8519,61.99,59,0,4.76,clear sky
237,Cotonou,BJ,6.3654,2.4183,78.78,89,40,10.36,scattered clouds
238,Port Blair,IN,11.6667,92.75,82.44,83,75,2.3,broken clouds
239,Ballina,AU,-28.8667,153.5667,57.36,89,100,8.12,overcast clouds
240,Morehead,US,37.2711,-87.1764,63.79,72,0,0.0,clear sky
241,Meulaboh,ID,4.1363,96.1285,79.07,83,100,6.22,overcast clouds
242,Umm Lajj,SA,25.0213,37.2685,87.37,28,0,6.53,clear sky
243,Sechura,PE,-5.5569,-80.8222,63.01,83,2,15.01,clear sky
244,Bang Saphan,TH,11.2126,99.5117,80.35,81,100,5.19,overcast clouds
245,Magadan,RU,59.5667,150.8,40.53,43,21,2.08,few clouds
246,Champerico,GT,14.3,-91.9167,80.19,77,98,4.38,overcast clouds
247,Enshi,CN,30.3,109.4833,76.96,84,92,0.89,overcast clouds
248,Tucuma,BR,-0.1833,-50.05,79.14,76,93,8.1,overcast clouds
249,Svetlyy,RU,54.675,20.1347,50.05,89,100,14.0,overcast clouds
250,Hilo,US,19.7297,-155.09,86.29,74,0,8.05,clear sky
251,Tamasane,BW,-22.4184,27.4013,66.43,32,1,4.63,clear sky
252,Chicama,PE,-7.8447,-79.1469,57.74,83,32,6.87,scattered clouds
253,Kassala,SD,15.451,36.4,82.06,58,3,7.34,clear sky
254,Rawson,AR,-43.3002,-65.1023,51.01,63,100,10.07,overcast clouds
255,Prince Rupert,CA,54.3161,-130.3201,55.09,98,100,13.8,moderate rain
256,Shilka,RU,51.85,116.0333,37.36,37,80,14.61,broken clouds
257,Polyarnyy,RU,69.1989,33.4478,36.3,98,100,11.18,overcast clouds
258,Upington,ZA,-28.4478,21.2561,53.98,20,0,4.61,clear sky
259,Nador,MA,35.174,-2.9287,70.05,73,40,10.36,scattered clouds
260,Camapua,BR,-19.5314,-54.0439,74.03,74,8,6.46,clear sky
261,Svetlaya,RU,46.5389,138.3297,52.97,77,99,7.16,overcast clouds
262,Port-Gentil,GA,-0.7193,8.7815,77.09,85,100,10.51,moderate rain
263,Thompson,CA,55.7435,-97.8558,44.76,61,20,3.44,few clouds
264,Waw,SS,7.7029,27.9953,72.23,85,4,1.95,clear sky
265,Inhapi,BR,-9.2214,-37.7486,64.49,86,6,5.66,clear sky
266,Halkirk,CA,52.2834,-112.1518,63.97,38,5,12.48,clear sky
267,Mahebourg,MU,-20.4081,57.7,70.25,60,40,9.22,scattered clouds
268,Hovd,MN,48.0056,91.6419,24.03,38,13,2.3,few clouds
269,Sabha,LY,27.0377,14.4283,83.62,17,0,11.07,clear sky
270,Gusau,NG,12.1628,6.6614,75.18,81,37,5.84,scattered clouds
271,Saint-Pierre,RE,-21.3393,55.4781,69.48,66,100,6.91,overcast clouds
272,Saint-Joseph,RE,-21.3667,55.6167,68.38,72,41,10.89,scattered clouds
273,Alpena,US,45.0617,-83.4327,57.52,85,75,10.36,broken clouds
274,Changji,CN,44.0167,87.3167,34.59,69,0,4.47,clear sky
275,Mahibadhoo,MV,3.7833,72.9667,82.22,76,91,19.6,overcast clouds
276,Osakarovka,KZ,50.565,72.5692,27.48,67,0,7.52,clear sky
277,Ekuvukeni,ZA,-28.4675,30.1551,64.11,79,100,3.29,overcast clouds
278,Malumfashi,NG,11.7853,7.6218,73.13,75,57,6.55,broken clouds
279,Kwinana,AU,-32.25,115.7667,65.8,52,5,16.37,clear sky
280,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,5.75,few clouds
281,Qandala,SO,11.472,49.8728,84.25,56,24,4.72,few clouds
282,Sorrento,IT,40.626,14.3744,68.27,88,0,9.37,clear sky
283,Luang Prabang,LA,19.8856,102.1347,78.76,89,100,2.3,mist
284,Hibbing,US,47.4272,-92.9377,51.4,58,20,8.05,few clouds
285,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,88,20,18.39,few clouds
286,Noumea,NC,-22.2763,166.4572,78.78,99,36,7.92,scattered clouds
287,Ilulissat,GL,69.2167,-51.1,32.02,69,75,0.0,broken clouds
288,Ahuimanu,US,21.4447,-157.8378,87.51,63,40,10.36,scattered clouds
289,Hofn,IS,64.2539,-15.2082,46.78,87,100,6.73,overcast clouds
290,Qostanay,KZ,53.1667,63.5833,37.69,44,0,6.71,clear sky
291,Kouango,CF,4.9934,19.9619,70.5,97,60,2.28,broken clouds
292,Gamba,GA,-2.65,10.0,75.06,90,100,6.06,light rain
293,Lorengau,PG,-2.0226,147.2712,83.37,76,37,9.84,scattered clouds
294,Parabel,RU,58.6978,81.4825,28.87,78,73,3.04,broken clouds
295,Woodward,US,36.4337,-99.3904,74.32,36,0,8.05,clear sky
296,Pangai,TO,-19.8,-174.35,77.04,70,17,17.47,few clouds
297,Baculin,PH,7.4525,126.5842,85.71,68,86,4.12,overcast clouds
298,Pen,IN,18.75,73.0833,80.64,87,47,1.25,scattered clouds
299,Hobyo,SO,5.3505,48.5268,75.87,86,9,19.01,clear sky
300,Xingcheng,CN,40.6167,120.7167,62.04,82,100,15.43,overcast clouds
301,Neiafu,TO,-18.65,-173.9833,83.08,65,20,13.8,few clouds
302,Aswan,EG,24.0934,32.907,85.3,18,0,5.75,clear sky
303,Yekaterinovka,RU,52.0508,44.3451,56.41,95,100,10.02,overcast clouds
304,Kulykivka,UA,51.3735,31.6466,55.24,93,100,8.68,light rain
305,Altamont,US,42.2068,-121.7372,71.44,36,0,1.99,clear sky
306,Coihaique,CL,-45.5752,-72.0662,46.35,61,0,4.61,clear sky
307,Escanaba,US,45.7453,-87.0646,55.71,86,0,6.91,clear sky
308,Ayagoz,KZ,47.9714,80.4392,27.19,64,7,14.2,clear sky
309,Vostok,RU,46.4856,135.8833,58.46,58,40,4.47,scattered clouds
310,Reconquista,AR,-29.15,-59.65,59.16,70,0,7.45,clear sky
311,Arinos,BR,-15.9169,-46.1056,76.86,57,2,0.85,clear sky
312,Grindavik,IS,63.8424,-22.4338,48.15,93,100,31.07,light intensity drizzle
313,Grand Gaube,MU,-20.0064,57.6608,70.38,60,22,7.0,few clouds
314,Hervey Bay,AU,-25.2986,152.8535,69.21,70,22,7.99,few clouds
315,Senador Jose Porfirio,BR,-2.5908,-51.9542,74.59,86,25,4.65,scattered clouds
316,Road Town,VG,18.4167,-64.6167,82.49,94,20,5.75,few clouds
317,Najran,SA,17.4924,44.1277,66.85,38,5,4.94,clear sky
318,Montebello,US,34.0095,-118.1053,76.19,67,0,8.05,clear sky
319,Kabalo,CD,-6.05,26.9167,72.63,71,79,2.71,broken clouds
320,Akyab,MM,20.15,92.9,78.28,92,100,11.52,overcast clouds
321,Date,JP,42.4681,140.8681,68.74,70,1,3.69,clear sky
322,Cidreira,BR,-30.1811,-50.2056,57.83,90,2,8.32,clear sky
323,Uribia,CO,11.7139,-72.266,82.22,76,67,4.83,broken clouds
324,Heihe,CN,50.2441,127.4902,45.18,64,100,9.86,overcast clouds
325,Itagi,BR,-14.1628,-40.0061,69.51,99,93,1.88,overcast clouds
326,Mabaruma,GY,8.2,-59.7833,78.21,86,7,4.94,clear sky
327,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,74.88,51,6,5.12,clear sky
328,Nakasongola,UG,1.3089,32.4564,62.31,86,26,0.89,scattered clouds
329,Imeni Sverdlova,RU,59.7961,30.6658,42.91,93,100,2.95,overcast clouds
330,Gospic,HR,44.5461,15.3747,49.69,96,13,0.65,few clouds
331,Urengoy,RU,65.9667,78.3667,29.12,68,99,11.79,overcast clouds
332,Kendari,ID,-3.945,122.4989,86.31,64,30,3.29,scattered clouds
333,Ust-Maya,RU,60.4167,134.5333,30.2,56,100,8.14,overcast clouds
334,Timizart,DZ,36.8,4.2667,61.47,73,40,5.21,scattered clouds
335,Nishihara,JP,26.1842,127.7558,85.28,66,20,11.5,few clouds
336,Baghdad,IQ,33.3406,44.4009,69.71,43,0,0.0,clear sky
337,Trincomalee,LK,8.5711,81.2335,81.82,73,84,19.48,broken clouds
338,Pandan,PH,14.0453,124.1694,83.28,84,99,12.82,overcast clouds
339,Coahuayana,MX,18.7333,-103.6833,77.11,90,99,2.68,overcast clouds
340,Stabat,ID,3.761,98.4513,77.2,90,100,1.45,light rain
341,Taree,AU,-31.9,152.4667,64.11,58,46,5.88,scattered clouds
342,Campechuela,CU,20.2342,-77.2789,76.64,85,100,3.76,light rain
343,Hambantota,LK,6.1241,81.1185,77.34,100,40,8.05,scattered clouds
344,Mocuba,MZ,-16.8392,36.9856,66.04,87,0,2.42,clear sky
345,Khasan,RU,42.4308,130.6434,62.22,89,100,12.44,overcast clouds
346,Karlskoga,SE,59.3267,14.5239,49.71,97,100,3.87,overcast clouds
