City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Vaini,TO,2022-24-09/19/22 15:24:03,-21.2,-175.2,73.56,83,20,6.91
110,Pisco,PE,2022-24-09/19/22 15:24:03,-13.7,-76.2167,60.03,94,100,6.91
111,Poum,NC,2022-24-09/19/22 15:24:04,-20.2333,164.0167,75.02,76,6,12.66
112,Alofi,NU,2022-24-09/19/22 15:24:05,-19.0595,-169.9187,71.49,94,35,4.61
113,Bengkulu,ID,2022-24-09/19/22 15:24:05,-3.8004,102.2655,75.6,89,98,5.82
114,Rocha,UY,2022-24-09/19/22 15:24:06,-34.4833,-54.3333,63.57,74,100,3.98
115,Cidreira,BR,2022-24-09/19/22 15:24:07,-30.1811,-50.2056,62.96,73,100,11.72
116,Acapulco,MX,2022-24-09/19/22 15:24:08,16.8634,-99.8901,80.42,78,100,3.44
117,Airai,TL,2022-20-09/19/22 15:20:40,-8.9266,125.4092,61.5,92,100,1.95
118,Margate,GB,2022-24-09/19/22 15:24:09,51.3813,1.3862,66.69,59,15,4.0
119,Arlit,NE,2022-24-09/19/22 15:24:10,18.7369,7.3853,82.62,44,57,24.94
120,North Branch,US,2022-24-09/19/22 15:24:11,45.5113,-92.9802,69.08,85,26,5.01
121,Borisoglebskiy,RU,2022-24-09/19/22 15:24:12,57.2586,39.1508,49.89,84,100,24.45
122,Cayenne,GF,2022-24-09/19/22 15:24:13,4.9333,-52.3333,91.44,55,40,4.61
123,Gubkinskiy,RU,2022-24-09/19/22 15:24:14,64.434,76.5026,47.25,87,88,14.88
124,Chokurdakh,RU,2022-24-09/19/22 15:24:14,70.6333,147.9167,34.97,65,100,15.52
125,Irsha,RU,2022-24-09/19/22 15:24:15,55.9269,94.7911,50.59,64,100,9.28
126,Bubaque,GW,2022-24-09/19/22 15:24:17,11.2833,-15.8333,80.33,77,99,12.08
127,Thompson,CA,2022-24-09/19/22 15:24:18,55.7435,-97.8558,51.96,100,75,5.75
128,Robertsport,LR,2022-20-09/19/22 15:20:23,6.7533,-11.3686,78.87,76,72,11.54
129,Malinyi,TZ,2022-24-09/19/22 15:24:19,-8.9333,36.1333,87.04,36,6,5.32
